"","CCC","lower.ci","upper.ci"
"log.sigma.6.mm.3D_glszm_GrayLevelNonUniformity",0.686814852022667,0.510462657492788,0.807724521511673
"log.sigma.6.mm.3D_glszm_GrayLevelNonUniformityNormalized",0.485826527069322,0.0980896659876348,0.74550530548707
"log.sigma.6.mm.3D_glszm_GrayLevelVariance",0.736528674797097,0.492617283214222,0.873150635986286
"log.sigma.6.mm.3D_glszm_HighGrayLevelZoneEmphasis",0.458659687817857,0.0728704335324391,0.725056778729218
"log.sigma.6.mm.3D_glszm_LargeAreaEmphasis",0.731372841022719,0.398023627620323,0.894109087663047
"log.sigma.6.mm.3D_glszm_LargeAreaHighGrayLevelEmphasis",0.667246289696043,0.327735866668949,0.85413241694855
"log.sigma.6.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis",0.243669885817496,-0.124120302912435,0.552593747485317
"log.sigma.6.mm.3D_glszm_LowGrayLevelZoneEmphasis",0.196630160542958,-0.261632950074931,0.582547401533949
"log.sigma.6.mm.3D_glszm_SizeZoneNonUniformity",0.835338312443999,0.667854710393065,0.922302901233559
"log.sigma.6.mm.3D_glszm_SizeZoneNonUniformityNormalized",0.739828474040244,0.410233363184769,0.898486243593869
"log.sigma.6.mm.3D_glszm_SmallAreaEmphasis",0.79244271922443,0.506201957991386,0.92141487197306
"log.sigma.6.mm.3D_glszm_SmallAreaHighGrayLevelEmphasis",0.55378292334211,0.15439804715726,0.797606767936588
"log.sigma.6.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis",0.0192739166700153,-0.430402148337244,0.461285292381055
"log.sigma.6.mm.3D_glszm_ZoneEntropy",0.932619395250956,0.823254262702021,0.975231853294633
"log.sigma.6.mm.3D_glszm_ZonePercentage",0.843393254673164,0.632888482388798,0.937791392779197
"log.sigma.6.mm.3D_glszm_ZoneVariance",0.724273561491004,0.374330965157551,0.893637624567558
"log.sigma.6.mm.3D_ngtdm_Busyness",-0.00402187572164199,-0.119532378752494,0.111596054032946
"log.sigma.6.mm.3D_ngtdm_Coarseness",0.850412860261668,0.699315748649317,0.928764916448136
"log.sigma.6.mm.3D_ngtdm_Complexity",0.75019691276348,0.516106376077904,0.88000567405425
"log.sigma.6.mm.3D_ngtdm_Contrast",0.330270691891661,-0.0504325913347394,0.627171220014133
"log.sigma.6.mm.3D_ngtdm_Strength",-0.0150040889243046,-0.309035216988504,0.281645064377668
"log.sigma.6.mm.3D_gldm_DependenceEntropy",0.818556024051359,0.568717834465029,0.9301127809736
"log.sigma.6.mm.3D_gldm_DependenceNonUniformity",0.956908128037179,0.884942875054337,0.984237389228267
"log.sigma.6.mm.3D_gldm_DependenceNonUniformityNormalized",0.8680351700647,0.666379406869092,0.951358778345412
"log.sigma.6.mm.3D_gldm_DependenceVariance",0.911263138167785,0.76996187687385,0.967369982877049
"log.sigma.6.mm.3D_gldm_GrayLevelNonUniformity",0.805460705619104,0.557681269377531,0.921438746856689
"log.sigma.6.mm.3D_gldm_GrayLevelVariance",0.836099731000933,0.660098258756248,0.925080296099347
"log.sigma.6.mm.3D_gldm_HighGrayLevelEmphasis",0.754869196683801,0.477600197890564,0.89539328826363
"log.sigma.6.mm.3D_gldm_LargeDependenceEmphasis",0.899532460972829,0.760526442954053,0.959697488294719
"log.sigma.6.mm.3D_gldm_LargeDependenceHighGrayLevelEmphasis",0.680810608311318,0.371490302968749,0.854094407073202
"log.sigma.6.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis",0.236033902947488,-0.26977064527637,0.639753359251948
"log.sigma.6.mm.3D_gldm_LowGrayLevelEmphasis",0.227026465261202,-0.279029785536686,0.634392968671372
"log.sigma.6.mm.3D_gldm_SmallDependenceEmphasis",0.895109204176986,0.770423571040931,0.953842142846399
"log.sigma.6.mm.3D_gldm_SmallDependenceHighGrayLevelEmphasis",0.78737840970003,0.519964032068791,0.914230009648099
"log.sigma.6.mm.3D_gldm_SmallDependenceLowGrayLevelEmphasis",0.10788991919695,-0.387660269124022,0.555061069523282
"wavelet.LH_firstorder_10Percentile",0.839706671884426,0.696151003133091,0.918689769536019
"wavelet.LH_firstorder_90Percentile",0.833037421347303,0.688491834114999,0.913930113674394
"wavelet.LH_firstorder_Energy",0.984461351573514,0.969273548421856,0.992171805304055
