"","CCC","lower.ci","upper.ci"
"original_glszm_LargeAreaLowGrayLevelEmphasis",-0.00744152475549372,-0.0212666985720836,0.0063864944822247
"original_glszm_LowGrayLevelZoneEmphasis",-0.000530177567045662,-0.0325910882856487,0.0315318231300776
"original_glszm_SizeZoneNonUniformity",0.887176828228487,0.730598167678634,0.955111141295202
"original_glszm_SizeZoneNonUniformityNormalized",0.182034838171551,0.0426818834436962,0.314440096405127
"original_glszm_SmallAreaEmphasis",0.174884936534218,0.0480584175845387,0.296161866553963
"original_glszm_SmallAreaHighGrayLevelEmphasis",0.0302435858871812,-6.70594523463193e-05,0.0604987105401476
"original_glszm_SmallAreaLowGrayLevelEmphasis",0.000340261237235124,-0.0377148852366472,0.0383944222078431
"original_glszm_ZoneEntropy",0.148819148954588,0.0327156091900025,0.260959694605766
"original_glszm_ZonePercentage",0.164342128606854,0.038823496753926,0.284755107621567
"original_glszm_ZoneVariance",0.0788414542941618,0.0200241520916469,0.13711491973971
"original_ngtdm_Busyness",0.246655148892146,0.0568516899044427,0.419251216335222
"original_ngtdm_Coarseness",0.946825926351175,0.893829179061453,0.973735436363879
"original_ngtdm_Complexity",0.0249956809689052,0.00353291404614452,0.0464354296686446
"original_ngtdm_Contrast",0.131925653280211,0.0193346240590497,0.241212558473821
"original_ngtdm_Strength",0.159209333480788,0.0390619699477666,0.274818782148352
"original_gldm_DependenceEntropy",0.228040852075005,0.0831510761318581,0.363489011297489
"original_gldm_DependenceNonUniformity",0.890660737400457,0.746856591487997,0.954883380207631
"original_gldm_DependenceNonUniformityNormalized",0.163480246967343,0.0150624364968918,0.304849487534611
"original_gldm_DependenceVariance",0.105957058146629,0.00842235657890824,0.201494673560563
"original_gldm_GrayLevelNonUniformity",0.479214981407051,0.28999357553623,0.632378773782778
"original_gldm_GrayLevelVariance",0.0505842612452009,0.00418932239402109,0.0967618997510785
"original_gldm_HighGrayLevelEmphasis",0.0260362839164864,-0.00196598294241019,0.0539977511060553
"original_gldm_LargeDependenceEmphasis",0.12451622343563,0.0288396625215218,0.217931955504711
"original_gldm_LargeDependenceHighGrayLevelEmphasis",-0.0221425629757887,-0.0439754731302881,-0.000288512360939456
"original_gldm_LargeDependenceLowGrayLevelEmphasis",-0.0070191724729061,-0.0192862125478571,0.00524998056398767
"original_gldm_LowGrayLevelEmphasis",-0.000882753605281413,-0.029782747606839,0.0280187150413315
"original_gldm_SmallDependenceEmphasis",0.169713316840519,0.0381940781953954,0.295452928487584
"original_gldm_SmallDependenceHighGrayLevelEmphasis",0.0306863815126496,-0.000653697077121564,0.0619662388658909
"original_gldm_SmallDependenceLowGrayLevelEmphasis",0.0018183879673961,-0.0400492069019522,0.0436796088980131
"log.sigma.6.mm.3D_firstorder_10Percentile",-0.0660536030730972,-0.343217560800518,0.221692449339294
"log.sigma.6.mm.3D_firstorder_90Percentile",-0.252720742960667,-0.613876517012927,0.19591837880813
"log.sigma.6.mm.3D_firstorder_Energy",0.892753899264811,0.786856052000195,0.947581225436578
"log.sigma.6.mm.3D_firstorder_Entropy",0.00589589175063098,-0.114367231211563,0.12598870317001
"log.sigma.6.mm.3D_firstorder_InterquartileRange",-0.0781637646987805,-0.42357537775603,0.287091924334519
"log.sigma.6.mm.3D_firstorder_Kurtosis",-0.136822533566834,-0.433541916396188,0.186663652908701
"log.sigma.6.mm.3D_firstorder_Maximum",-0.132854765035894,-0.565653441445945,0.357327031208742
"log.sigma.6.mm.3D_firstorder_MeanAbsoluteDeviation",-0.0672027778395027,-0.470525850226291,0.359348029671011
"log.sigma.6.mm.3D_firstorder_Mean",-0.143318634898898,-0.467244176135802,0.21452958260227
"log.sigma.6.mm.3D_firstorder_Median",-0.107382208134143,-0.434371704012853,0.244614894764556
"log.sigma.6.mm.3D_firstorder_Minimum",0.309175304834582,-0.158863996915255,0.663750240670652
"log.sigma.6.mm.3D_firstorder_Range",0.144662946802348,-0.30775330677333,0.543726906254217
"log.sigma.6.mm.3D_firstorder_RobustMeanAbsoluteDeviation",-0.108732805737211,-0.46591106081379,0.278915918523655
"log.sigma.6.mm.3D_firstorder_RootMeanSquared",-0.150679466572478,-0.476160842823333,0.21111341412622
"log.sigma.6.mm.3D_firstorder_Skewness",-0.177421006290735,-0.594120948903536,0.314358044318822
"log.sigma.6.mm.3D_firstorder_TotalEnergy",0.937978997395979,0.863866049531535,0.972342682440912
"log.sigma.6.mm.3D_firstorder_Uniformity",-0.0192589767063145,-0.148365433317296,0.110492964889134
"log.sigma.6.mm.3D_firstorder_Variance",-0.08399229293366,-0.517854019669634,0.384237448669518
"log.sigma.6.mm.3D_glcm_Autocorrelation",0.0705916177529649,-0.187847030078898,0.319888562272642
"log.sigma.6.mm.3D_glcm_ClusterProminence",-0.0247791345371704,-0.135703694110078,0.0867589521686113
"log.sigma.6.mm.3D_glcm_ClusterShade",0.00017084007984477,-0.415963151695168,0.416245672365957
"log.sigma.6.mm.3D_glcm_ClusterTendency",-0.0168645409627254,-0.116960444811998,0.0835705425518364
"log.sigma.6.mm.3D_glcm_Contrast",0.0485453671759005,-0.0712450415899919,0.166955350855116
"log.sigma.6.mm.3D_glcm_Correlation",0.0460354697951752,-0.135154851837243,0.224246496448294
"log.sigma.6.mm.3D_glcm_DifferenceAverage",0.0412693223532737,-0.0735159126974348,0.154975442958461
"log.sigma.6.mm.3D_glcm_DifferenceEntropy",0.0567672512527218,-0.0776817362398239,0.189188348885749
